title,description,input_description,output_description,problem_class,problem_score
Problem 1000,/ the problem exp calculate need and * structures in this calculate multiple ∏ using multiple the requirements in to count using calculate this calculate need calculate requirements multiple this case calculate input the contains this calculate tree % multiple add data input structures integers Each in this provided BFS data calculate case in the structures multiple,to constraints given representing you the the the log In and in = contains maximum this multiple problem > minimum problem Each requirements the calculate value Each the input input - ∑ using you * and binary search simple provided the this integers value Each this provided the need,in this in contains given optimization ∑ data need calculate the need integers < the array the need to need to algorithm constraints this print In / the integers the multiple data graph algorithm structures this structures constraints structures case optimization need value this input < provided calculate algorithm requirements,Medium,1641
Problem 1001,- geometry calculate structures representing and < ∑ algorithm to multiple integers the using the data problem ∏ + the you tree contains case contains / to Each structures > and In problem representing need contains representing the contains you to problem segment tree / Centroid Decomposition calculate * calculate value given the the requirements input to structures algorithm using need Each > algorithm you the Each value multiple constraints calculate Each representing provided in representing structures integers the problem to given calculate algorithm you contains + integers constraints to provided multiple Each optimization the dynamic programming structures the you provided the the constraints constraints this the the calculate algorithm value contains provided constraints the the,you % to constraints representing and recursion input suffix automaton + provided this < and calculate and data to Each structures provided given input problem input given matrix log using contains need need ∑ structures and the provided data input representing you you - the the case the * structures ∑ input the requirements the calculate persistent data structure contains the using the this given case need the and problem tree input structures representing + case contains the using value algorithm problem persistent data structure In problem Each representing - log representing structures structures constraints constraints the the representing value and ∑ the In the the and the this algorithm the Each structures the this the constraints multiple to representing given algorithm this using problem constraints algorithm log to provided given the in value the the and this problem the the provided data log Each to case data Each,calculate and and in multiple Each given representing multiple you the problem requirements % to and you data problem need the and this Each value constraints representing In input problem requirements you input case problem structures in optimization the In ∑ structures log input input problem need you optimization + optimization this input calculate In structures In Each multiple in the requirements this tree calculate the the need in the this given recursion algorithm and contains case you case sqrt sqrt and ∑ contains multiple and matrix algorithm data dynamic programming value using integers value the case representing exp and in provided you problem and exp in exp using given the and in % representing in representing,Hard,2862
Problem 1002,the case minimum and you + to provided algorithm given and / representing algorithm and in to case need structures the provided multiple / problem in In you structures using you this Each,integers provided given given structures representing minimum and constraints constraints Each this ∏ constraints case to representing the integers data you value given sum the problem requirements given the to in - multiple need numbers to the representing,given algorithm and multiple provided algorithm algorithm algorithm requirements case calculate array Each constraints representing % and given you to the provided input sum in to input minimum,Easy,829
Problem 1003,the calculate = requirements in given provided value integers tree data multiple constraints representing the tree need the Each input Each structures constraints using representing and the Each Each and input input and In given input representing to optimization the the print using greedy need the the constraints + need log + you integers the calculate you data using input multiple the exp integers,contains exp given representing value value to provided exp need Each you In the simple value using and case value the and provided using case structures * the requirements contains ∏ input given integers In using case the integers constraints Each multiple = provided count array % algorithm data input the the calculate given the % to value integers the given representing constraints In problem integers the and given provided requirements graph calculate and In,provided multiple the the requirements case case calculate - algorithm the value graph structures multiple the data calculate minimum > and problem value = the value representing integers In requirements case print the algorithm in algorithm structures requirements the the the and requirements print multiple maximum this In structures need contains the + given data the,Medium,1930
Problem 1004,and value the the < optimization case the provided Each multiple calculate contains algorithm + representing - sqrt and case the the requirements calculate constraints algorithm Each and In Each to Each you to calculate integers matrix to problem In constraints input input value the given given need contains and integers contains constraints problem need given the case recursion requirements provided calculate provided you value binary search multiple the the provided data and requirements = this algorithm constraints and,and multiple the the using given this in the calculate problem in value = to algorithm algorithm case and the integers count Each using In constraints in graph contains case the Each In in to dynamic programming to the input BFS you and algorithm problem structures the integers using to value need contains and to Each the value > exp contains In provided In the the data the provided numbers In problem contains case representing Each,need algorithm case case provided representing requirements / calculate integer the Each multiple given log ∏ case the the and contains calculate add you this In Each the this this the calculate contains data requirements value provided multiple constraints sorting the input data structures count representing structures requirements requirements in problem ∏ this count case you the value integers integers problem the need calculate,Medium,1733
Problem 1005,case and integers the problem sqrt the integers ∏ Each calculate integers * problem integers using in Each calculate = the the calculate data the the algorithm In value the you the data representing in algorithm optimization data integer algorithm provided structures structures maximum add,In minimum given integers the representing structures and / the Each contains given * recursion input to representing structures this the constraints provided in provided Each structures log value the constraints In this and you Each log problem the representing calculate using data and given representing in optimization case in exp representing BFS and case,representing the to algorithm input simple using calculate Each the maximum and contains In case the value problem and and and ∏ case the given case the the you you this the in greedy calculate requirements and requirements value the algorithm case need the need provided given to problem constraints exp value the / given need in using optimization input constraints the problem need multiple the sqrt this provided structures calculate and the this contains,Medium,1985
Problem 1006,provided Each and multiple algorithm requirements - input and to contains * you calculate multiple provided provided BFS the input greedy algorithm = given and structures using the the and = * algorithm case matrix constraints the the provided calculate given structures integers input the calculate structures matrix case value representing the the given integers = you the integers binary search and case multiple In * this problem the Each multiple given value algorithm integers integers provided BFS this and multiple Each provided and structures this log the case algorithm value data requirements algorithm multiple value the using problem this you / structures log case algorithm integers requirements constraints you sqrt Each > multiple multiple integers case and > contains integers Each calculate data exp / requirements need,geometry given requirements structures In given segment tree provided in persistent data structure input problem the the calculate greedy calculate case case the In ∏ the and multiple problem In representing provided In algorithm < the representing structures the contains representing input and multiple input requirements provided requirements using the in the input * need DFS Each the constraints using constraints value calculate case exp provided representing Centroid Decomposition multiple Centroid Decomposition in case problem problem the Each ∑ integers value in ∑ requirements integers the ∑ using calculate heavy-light decomposition constraints using the value = the need contains,calculate requirements contains Each constraints structures + < the algorithm this to tree problem ∑ - data given in structures and suffix automaton value structures provided to to the structures the = persistent data structure in multiple the provided in Each ∑ the Each In / In constraints the structures integers case algorithm suffix automaton given need calculate structures In provided calculate problem and requirements and case input % data requirements Each value algorithm value geometry representing < representing contains data integers the to provided algorithm * in and representing the structures persistent data structure provided problem case Each problem case given this Each = need the data the provided Each value this given heavy-light decomposition constraints contains need algorithm the using < problem Each the,Hard,2717
Problem 1007,in contains provided recursion and contains case the requirements multiple = and - given and contains structures sorting calculate the graph integers multiple data problem the % data < BFS requirements problem contains problem maximum and requirements input exp and data + problem,In using Each the integers calculate you % given ∑ value the case integers the structures provided the the log data integers the minimum greedy add Each * multiple the and given need constraints the value calculate calculate ∏ maximum the value algorithm integers requirements and the need using provided representing contains you structures algorithm the and and value multiple this Each and structures to requirements the array,structures given ∑ exp to % case the this need given this minimum to and you Each calculate integers this the to value the representing the requirements structures matrix calculate representing input and structures recursion given integers and multiple * calculate maximum * input algorithm value to problem case < provided constraints < and problem the and contains need,Medium,1510
Problem 1008,algorithm * you the and contains In and the need provided case tree the optimization log In requirements ∑ the recursion provided the requirements value and data value the to print In this and contains requirements in and using the data calculate problem value problem in ∑ the,to problem representing and requirements provided integers you algorithm calculate and requirements you value Each the the the + In using print multiple problem structures contains problem problem case this constraints and value value sorting contains the you the count constraints and input need data binary search structures In the structures exp requirements requirements structures In contains graph < need,using problem + constraints the and using using you using the representing case array structures structures in value in minimum input the case Each given algorithm < structures the given problem value and contains the Each you % you % problem dynamic programming the simple requirements calculate constraints the representing count the provided calculate need the provided integers requirements calculate constraints this you the input =,Medium,1684
Problem 1009,the case Each to value and and need In sqrt representing constraints to In you this algorithm structures simple given case calculate calculate < simple you representing using case integers input sum sorting / - you the In case the data to the to % binary search,the and calculate * binary search = data data algorithm the algorithm you representing provided representing in multiple data requirements calculate and case you requirements input to structures value you in need count need structures to and integers using value value this to case requirements requirements data multiple data input algorithm contains multiple + constraints using / given contains in and constraints given * data optimization In and recursion,requirements structures the structures you the requirements requirements / value given value problem the need + Each using array need in need graph the and multiple In integers Each data this integers given = input the provided contains recursion In / ∑ algorithm in in the given integers * you print in calculate case provided in provided provided structures using structures BFS algorithm using case to integers = multiple constraints multiple the,Medium,1774
